Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
2014-15,33.0,MIA,NBA,SG,62.0,62.0,31.8,8.2,17.5,0.47,0.5,1.6,0.284,7.7,15.8,0.489,0.483,4.6,6.0,0.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5,Dwyane Wade
2015-16,34.0,MIA,NBA,SG,74.0,73.0,30.5,7.3,16.0,0.456,0.1,0.6,0.159,7.2,15.4,0.468,0.459,4.4,5.5,0.793,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0,Dwyane Wade
2016-17,35.0,CHI,NBA,SG,60.0,59.0,29.9,6.9,15.9,0.434,0.8,2.4,0.31,6.2,13.5,0.456,0.457,3.7,4.7,0.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,Dwyane Wade
2017-18,36.0,TOT,NBA,SG,67.0,3.0,22.9,4.5,10.2,0.438,0.5,1.7,0.288,4.0,8.5,0.468,0.462,2.0,2.8,0.714,0.7,3.0,3.8,3.4,0.9,0.7,2.1,1.9,11.4,Dwyane Wade
2017-18,36.0,CLE,NBA,SG,46.0,3.0,23.2,4.3,9.5,0.455,0.5,1.5,0.329,3.8,7.9,0.479,0.482,2.0,2.9,0.701,0.8,3.1,3.9,3.5,0.9,0.7,2.0,1.8,11.2,Dwyane Wade
2017-18,36.0,MIA,NBA,SG,21.0,0.0,22.2,4.8,11.8,0.409,0.4,2.0,0.22,4.4,9.8,0.447,0.427,2.0,2.6,0.745,0.5,2.9,3.4,3.1,0.9,0.7,2.3,1.9,12.0,Dwyane Wade
2018-19,37.0,MIA,NBA,SG,72.0,2.0,26.2,5.8,13.3,0.433,1.2,3.6,0.33,4.6,9.7,0.472,0.478,2.3,3.2,0.708,1.0,3.0,4.0,4.2,0.8,0.5,2.3,1.6,15.0,Dwyane Wade
1958-59,24.0,MNL,NBA,SF,70,,40.8,8.6,21.2,0.408,,,,,,,,7.6,9.8,0.777,,,15.0,4.1,,,,3.9,24.9,Elgin Baylor
1959-60,25.0,MNL,NBA,SF,70,,41.0,10.8,25.4,0.424,,,,,,,,8.1,11.0,0.732,,,16.4,3.5,,,,3.3,29.6,Elgin Baylor
1960-61,26.0,LAL,NBA,SF,73,,42.9,12.8,29.7,0.43,,,,,,,,9.3,11.8,0.783,,,19.8,5.1,,,,3.8,34.8,Elgin Baylor
1961-62,27.0,LAL,NBA,SF,48,,44.4,14.2,33.1,0.428,,,,,,,,9.9,13.1,0.754,,,18.6,4.6,,,,3.2,38.3,Elgin Baylor
1962-63,28.0,LAL,NBA,SF,80,,42.1,12.9,28.4,0.453,,,,,,,,8.3,9.9,0.837,,,14.3,4.8,,,,2.8,34.0,Elgin Baylor
1963-64,29.0,LAL,NBA,SF,78,,40.6,9.7,22.8,0.425,,,,,,,,6.0,7.5,0.804,,,12.0,4.4,,,,3.0,25.4,Elgin Baylor
1964-65,30.0,LAL,NBA,SF,74,,41.3,10.3,25.7,0.401,,,,,,,,6.5,8.2,0.792,,,12.8,3.8,,,,3.2,27.1,Elgin Baylor
1965-66,31.0,LAL,NBA,SF,65,,30.4,6.4,15.9,0.401,,,,,,,,3.8,5.2,0.739,,,9.6,3.4,,,,2.4,16.6,Elgin Baylor
1966-67,32.0,LAL,NBA,SF,70,,38.7,10.2,23.7,0.429,,,,,,,,6.3,7.7,0.813,,,12.8,3.1,,,,3.0,26.6,Elgin Baylor
1967-68,33.0,LAL,NBA,SF,77,,39.3,9.8,22.2,0.443,,,,,,,,6.3,8.1,0.786,,,12.2,4.6,,,,3.0,26.0,Elgin Baylor
1968-69,34.0,LAL,NBA,SF,76,,40.3,9.6,21.5,0.447,,,,,,,,5.5,7.5,0.743,,,10.6,5.4,,,,2.7,24.8,Elgin Baylor
1969-70,35.0,LAL,NBA,SF,54,,41.0,9.5,19.5,0.486,,,,,,,,5.1,6.6,0.773,,,10.4,5.4,,,,2.4,24.0,Elgin Baylor
