"","Player","PTS_G","TRB_G","AST_G","STL_G","BLK_G","X3P_G","PTS_100","TRB_100","AST_100","STL_100","BLK_100","X3P_100"
"401","Rui Hachimura",11.3,3.8,1.1,0.5,0.2,1.3,24.9,8.4,2.5,1.2,0.5,2.9
"402","Russell Westbrook",18.5,7.4,7.1,1,0.3,1,25.8,10.4,9.8,1.3,0.4,1.4
"403","Saben Lee",5.6,2.4,2.9,1,0.3,0.4,16.8,7,8.6,2.9,1,1.1
"404","Saddiq Bey",16.1,5.4,2.8,0.9,0.2,2.6,23.8,8,4.2,1.3,0.3,3.8
"405","Sam Hauser",2.5,1.1,0.4,0,0.1,0.7,20.4,9.1,3.1,0.3,0.6,6
"406","Sandro Mamukelashvili",3.8,2,0.5,0.2,0.2,0.5,18.2,9.7,2.6,1.1,1.1,2.6
"407","Santi Aldama",4.1,2.7,0.7,0.2,0.3,0.2,17.5,11.6,2.8,0.8,1.3,0.8
"408","Scottie Barnes",15.3,7.5,3.5,1.1,0.7,0.8,21.7,10.6,4.9,1.5,1.1,1.1
"409","Semi Ojeleye",3.1,2.7,0.3,0.25,0.25,0.55,10.25,8.9,0.95,0.8,0.75,1.75
"410","Serge Ibaka",6.8,4.73333333333333,0.866666666666667,0.2,0.566666666666667,0.7,20.0333333333333,13.9333333333333,2.6,0.6,1.73333333333333,2.03333333333333
"411","Seth Curry",14.9666666666667,3.03333333333333,3.4,0.833333333333333,0.2,2.6,22.6666666666667,4.53333333333333,5.1,1.23333333333333,0.333333333333333,3.93333333333333
"412","Shai Gilgeous-Alexander",24.5,5,5.9,1.3,0.8,1.6,34.4,7,8.3,1.8,1.2,2.2
"413","Shake Milton",8.2,2.6,2.5,0.5,0.3,0.8,19,6,5.9,1.2,0.7,1.8
"414","Skylar Mays",2.9,0.9,0.6,0.3,0,0.3,17.9,5.6,3.8,1.6,0,1.8
"415","Solomon Hill",0.6,1.8,0.9,0.3,0.2,0.2,2.8,8.1,4.2,1.4,0.7,0.7
"416","Spencer Dinwiddie",14.0333333333333,4,4.96666666666667,0.666666666666667,0.233333333333333,1.7,23.9666666666667,6.76666666666667,8.4,1.13333333333333,0.366666666666667,2.9
"417","Stanley Johnson",6.7,3.2,1.7,0.9,0.3,0.7,14,6.8,3.5,1.9,0.6,1.4
"418","Stephen Curry",25.5,5.2,6.3,1.3,0.4,4.5,35.9,7.4,8.9,1.9,0.5,6.3
"419","Sterling Brown",3.3,3,0.7,0.3,0.1,0.6,12.8,11.9,2.7,1.1,0.6,2.2
"420","Steven Adams",6.9,10,3.4,0.9,0.8,0,12.6,18.2,6.1,1.6,1.4,0
"421","Svi Mykhailiuk",4.6,1.6,0.8,0.5,0.1,0.7,17.8,6.4,3.1,1.8,0.3,2.9
"422","T.J. McConnell",8.5,3.3,4.9,1.1,0.4,0.4,17.2,6.8,9.8,2.2,0.8,0.8
"423","Taj Gibson",4.4,4.4,0.6,0.4,0.8,0.3,12.1,12.1,1.7,1.2,2.1,0.8
"424","Talen Horton-Tucker",10,3.2,2.7,1,0.5,0.8,18.9,6.1,5,1.9,0.9,1.6
"425","Taurean Prince",7.3,2.5,1,0.7,0.3,1.2,20.3,7,2.7,1.9,0.9,3.5
"426","Terance Mann",10.8,5.2,2.6,0.7,0.3,0.9,18.4,9,4.4,1.2,0.4,1.6
"427","Terence Davis",10.4,3.1,1.3,0.8,0.4,1.6,27.9,8.4,3.6,2.2,1,4.4
"428","Terrence Ross",10,2.6,1.8,0.4,0.2,1.2,21,5.4,3.9,0.9,0.4,2.6
"429","Terry Rozier",19.3,4.3,4.5,1.3,0.3,3,27.5,6.1,6.4,1.8,0.5,4.3
"430","Terry Taylor",9.6,5.2,1.2,0.4,0.2,0.4,21.8,11.8,2.8,1,0.5,0.8
"431","Thaddeus Young",6.2,4,2,1.03333333333333,0.333333333333333,0.333333333333333,18.8333333333333,12.1,6.13333333333333,3.13333333333333,1.03333333333333,0.933333333333333
"432","Thanasis Antetokounmpo",3.6,2.1,0.5,0.3,0.3,0,17.4,10.3,2.2,1.6,1.2,0.2
"433","Théo Maledon",7.1,2.6,2.2,0.6,0.2,0.9,19.4,7,6,1.7,0.6,2.4
"434","Theo Pinson",2.5,1.1,0.9,0.3,0.1,0.5,16.3,7.1,5.8,1.7,0.7,3.4
"435","Thomas Bryant",7.4,4,0.9,0.2,0.8,0.4,22.6,12.2,2.6,0.7,2.4,1.4
"436","Tim Frazier",3.3,1.6,2.8,0.3,0.1,0.5,9,4.5,7.95,0.7,0.2,1.45
"437","Tim Hardaway Jr.",14.2,3.7,2.2,0.9,0.1,2.4,24.2,6.3,3.7,1.5,0.2,4.1
"438","Timothé Luwawu-Cabarrot",4.4,1.6,0.8,0.3,0.1,0.8,16.3,5.9,2.9,1.3,0.4,3.2
"439","Tobias Harris",17.2,6.8,3.5,0.6,0.6,1.4,24.7,9.7,4.9,0.9,0.8,2
"440","Tomáš Satoranský",3.76666666666667,2.36666666666667,3.53333333333333,0.533333333333333,0.1,0.233333333333333,10.8333333333333,6.93333333333333,10.2,1.6,0.3,0.6
"441","Tony Bradley",3,3.4,0.5,0.2,0.6,0,14.5,16.5,2.4,0.9,2.9,0
"442","Tony Snell",4,1.96666666666667,0.5,0.333333333333333,0.166666666666667,0.933333333333333,11.9,6,1.63333333333333,1.03333333333333,0.5,2.83333333333333
"443","Torrey Craig",6.66666666666667,4.03333333333333,1.16666666666667,0.633333333333333,0.5,1,15.7666666666667,9.5,2.76666666666667,1.46666666666667,1.16666666666667,2.4
"444","Trae Young",28.4,3.7,9.7,0.9,0.1,3.1,39.9,5.3,13.7,1.3,0.1,4.3
"445","Tre Jones",6,2.2,3.4,0.6,0.1,0.1,17.3,6.5,9.7,1.8,0.3,0.4
"446","Tre Mann",10.4,2.9,1.5,0.8,0.2,1.6,22.3,6.1,3.2,1.7,0.4,3.5
"447","Trendon Watford",7.6,4.1,1.7,0.5,0.6,0.2,20.5,11.2,4.6,1.4,1.6,0.5
"448","Trent Forrest",3.3,1.7,1.8,0.5,0.1,0.1,12.6,6.4,6.8,1.9,0.4,0.3
"449","Trevor Ariza",4,3.4,1.1,0.5,0.3,0.8,10,8.5,2.8,1.3,0.6,2.1
"450","Trey Burke",5.1,0.8,1.4,0.3,0,0.6,24.4,3.8,6.5,1.4,0,3
"451","Trey Lyles",10.5,5.16666666666667,1.2,0.366666666666667,0.4,0.933333333333333,24.4333333333333,11.9666666666667,2.76666666666667,0.866666666666667,0.933333333333333,2.1
"452","Trey Murphy III",5.4,2.4,0.6,0.4,0.1,1.1,19.1,8.4,2.2,1.3,0.4,4.1
"453","Tristan Thompson",5.96666666666667,5.06666666666667,0.6,0.433333333333333,0.366666666666667,0,18.3666666666667,15.6,1.83333333333333,1.33333333333333,1.1,0.0666666666666667
"454","Troy Brown Jr.",4.3,3.1,1,0.5,0.1,0.7,13.1,9.4,3.1,1.7,0.2,2.2
"455","Ty Jerome",7.1,1.6,2.3,0.6,0.1,1.1,20.7,4.7,6.6,1.8,0.3,3.3
"456","Tyler Cook",3.4,2.7,0.2,0.2,0.2,0,16.4,12.9,0.7,1,1,0
"457","Tyler Herro",20.7,5,4,0.7,0.1,2.7,31.8,7.7,6.1,1,0.2,4.1
"458","Tyrese Haliburton",15.7,4.06666666666667,8.4,1.73333333333333,0.633333333333333,2.1,21.6,5.6,11.5666666666667,2.43333333333333,0.866666666666667,2.9
"459","Tyrese Maxey",17.5,3.2,4.3,0.7,0.4,1.8,24.7,4.5,6,1,0.6,2.5
"460","Tyus Jones",8.7,2.4,4.4,0.9,0,1.1,19.5,5.4,10,2,0.1,2.5
"461","Udoka Azubuike",4.7,4.2,0,0.1,0.6,0,20.3,18,0,0.3,2.8,0
"462","Usman Garuba",2,3.5,0.7,0.4,0.5,0.2,9.6,16.5,3.4,2,2.2,1
"463","Vit Krejci",6.2,3.4,1.9,0.6,0.3,1.1,13.2,7.1,4,1.3,0.6,2.3
"464","Vlatko Cancar",4.1,2.1,1.1,0.1,0.2,0.5,17.3,8.6,4.7,0.6,0.8,2
"465","Wayne Ellington",6.7,1.8,0.7,0.5,0.1,1.9,17,4.6,1.8,1.4,0.3,4.9
"466","Wendell Carter Jr.",15,10.5,2.8,0.6,0.7,1.1,24.3,16.9,4.5,0.9,1.1,1.8
"467","Wenyen Gabriel",6.05,4,0.55,0.2,0.45,0.3,19.25,12.8,1.85,0.65,1.45,1
"468","Wesley Matthews",5.1,1.9,0.7,0.5,0.2,1.1,11.9,4.4,1.7,1.1,0.4,2.5
"469","Will Barton",14.7,4.8,3.9,0.8,0.4,2.2,22.5,7.3,5.9,1.2,0.7,3.4
"470","Willie Cauley-Stein",1.8,2.05,0.5,0.3,0.2,0.1,9.5,10.9,2.65,1.65,0.85,0.3
"471","Willy Hernangómez",9.1,6.8,1.3,0.4,0.4,0.1,26.7,19.9,3.7,1.2,1.1,0.2
"472","Xavier Tillman Sr.",4.8,3,1.2,0.9,0.3,0.2,17.2,11,4.2,3.3,1,0.7
"473","Yuta Watanabe",4.3,2.4,0.6,0.3,0.4,0.7,18.3,10.3,2.4,1.2,1.8,3
"474","Zach Collins",7.8,5.5,2.2,0.5,0.8,0.5,20.8,14.6,5.8,1.2,2.2,1.3
"475","Zach LaVine",24.4,4.6,4.5,0.6,0.3,2.8,34.3,6.5,6.4,0.9,0.5,3.9
"476","Zeke Nnaji",6.6,3.6,0.4,0.4,0.3,0.9,19,10.3,1.2,1.1,0.9,2.6
"477","Ziaire Williams",8.1,2.1,1,0.6,0.2,1.2,17.8,4.6,2.3,1.2,0.4,2.7
